Row,C11,C21,C31,C41,C51,C61,C22,C32,C42,C52,C62,C33,C43,C53,C63,C44,C54,C64,C55,C65,C66
084_001,0.006437,0.003523,0.003503,0.001293,0.000339,-0.001263,0.006476,0.003527,0.001300,0.001308,-0.000340,0.006449,0.000336,0.001302,-0.001266,0.003182,-0.000050,0.000054,0.003186,0.000053,0.003154
084_002,0.009334,0.005221,0.005218,0.001050,0.000232,-0.001019,0.009342,0.005221,0.001052,0.001053,-0.000235,0.009336,0.000234,0.001048,-0.001017,0.004518,-0.000062,0.000067,0.004517,0.000065,0.004512
084_003,0.011425,0.006343,0.006312,0.001691,0.000419,-0.001653,0.011510,0.006360,0.001701,0.001712,-0.000414,0.011474,0.000421,0.001715,-0.001663,0.005658,-0.000048,0.000044,0.005667,0.000044,0.005625
084_004,0.013772,0.007749,0.007707,0.001959,0.000370,-0.001922,0.013831,0.007749,0.001967,0.001966,-0.000375,0.013772,0.000370,0.001959,-0.001922,0.006752,-0.000065,0.000065,0.006752,0.000065,0.006715
084_005,0.015634,0.008767,0.008755,0.002525,0.000406,-0.002491,0.015664,0.008773,0.002529,0.002558,-0.000417,0.015632,0.000405,0.002553,-0.002491,0.007717,-0.000115,0.000114,0.007725,0.000110,0.007712
084_006,0.018845,0.010480,0.010447,0.002448,0.000489,-0.002414,0.018893,0.010487,0.002453,0.002473,-0.000490,0.018850,0.000485,0.002463,-0.002415,0.009440,-0.000136,0.000140,0.009447,0.000138,0.009408
084_007,0.021314,0.011674,0.011664,0.002990,0.000618,-0.002988,0.021347,0.011684,0.002997,0.003015,-0.000619,0.021318,0.000617,0.003004,-0.002989,0.010779,-0.000209,0.000215,0.010791,0.000218,0.010774
084_008,0.023474,0.012624,0.012637,0.003547,0.000639,-0.003507,0.023468,0.012624,0.003544,0.003568,-0.000650,0.023461,0.000631,0.003566,-0.003507,0.012020,-0.000282,0.000282,0.012019,0.000275,0.012031
084_009,0.025910,0.013889,0.013885,0.003881,0.000639,-0.003863,0.025945,0.013905,0.003885,0.003897,-0.000642,0.025935,0.000643,0.003901,-0.003867,0.013288,-0.000233,0.000232,0.013300,0.000230,0.013282
084_010,0.029412,0.015782,0.015759,0.004160,0.000630,-0.004106,0.029436,0.015772,0.004164,0.004189,-0.000626,0.029403,0.000630,0.004193,-0.004108,0.015087,-0.000224,0.000211,0.015081,0.000210,0.015063
084_011,0.037981,0.021069,0.021068,0.001537,-0.000176,-0.001493,0.037976,0.021054,0.001531,0.001546,0.000178,0.037967,-0.000173,0.001551,-0.001493,0.019137,-0.000112,0.000099,0.019122,0.000100,0.019139
084_012,0.040776,0.022511,0.022495,0.001499,-0.000142,-0.001479,0.040818,0.022531,0.001506,0.001563,0.000156,0.040800,-0.000161,0.001558,-0.001481,0.020659,-0.000087,0.000102,0.020677,0.000094,0.020645
084_013,0.044264,0.024258,0.024316,0.001817,-0.000201,-0.001798,0.044164,0.024254,0.001820,0.001875,0.000189,0.044231,-0.000199,0.001864,-0.001806,0.022420,-0.000007,-0.000005,0.022419,-0.000009,0.022478
084_014,0.047881,0.026012,0.025982,0.001810,-0.000057,-0.001856,0.047898,0.026026,0.001809,0.001877,0.000071,0.047876,-0.000071,0.001869,-0.001851,0.024477,-0.000016,0.000023,0.024490,0.000017,0.024448
084_015,0.051311,0.027656,0.027669,0.001714,-0.000108,-0.001653,0.051271,0.027649,0.001720,0.001760,0.000111,0.051285,-0.000103,0.001750,-0.001662,0.026294,-0.000116,0.000110,0.026284,0.000090,0.026305
084_016,0.054584,0.029247,0.029220,0.001875,-0.000213,-0.001839,0.054598,0.029251,0.001865,0.001909,0.000214,0.054571,-0.000217,0.001907,-0.001840,0.028074,-0.000110,0.000117,0.028073,0.000098,0.028050
084_017,0.058283,0.031024,0.031034,0.001809,-0.000163,-0.001763,0.058299,0.031053,0.001827,0.001847,0.000131,0.058313,-0.000146,0.001837,-0.001771,0.030046,-0.000049,0.000056,0.030071,0.000049,0.030059
084_018,0.062477,0.032997,0.032949,0.001821,0.000017,-0.001702,0.062521,0.032994,0.001837,0.001848,-0.000041,0.062465,0.000025,0.001838,-0.001703,0.032298,-0.000081,0.000101,0.032295,0.000098,0.032258
084_019,0.065657,0.034235,0.034252,0.001810,-0.000100,-0.001748,0.065659,0.034264,0.001822,0.001847,0.000094,0.065676,-0.000105,0.001841,-0.001754,0.034058,-0.000110,0.000112,0.034084,0.000111,0.034074
084_020,0.070308,0.036435,0.036550,0.002236,-0.000234,-0.002113,0.070215,0.036433,0.002226,0.002227,0.000205,0.070305,-0.000235,0.002239,-0.002114,0.036388,-0.000178,0.000176,0.036386,0.000177,0.036489
084_021,0.074228,0.038097,0.038057,0.001817,-0.000100,-0.001735,0.074242,0.038083,0.001818,0.001836,0.000068,0.074207,-0.000086,0.001812,-0.001723,0.038608,-0.000105,0.000112,0.038594,0.000104,0.038571
084_022,0.079002,0.040277,0.040236,0.002112,0.000018,-0.002048,0.079021,0.040277,0.002117,0.002115,-0.000035,0.079002,0.000020,0.002112,-0.002046,0.041045,-0.000107,0.000116,0.041045,0.000114,0.041005
